epoch,lr,train_loss,id_loss,triplet_loss,consistency_loss,part_id_loss,all_mAP,all_rank1,epoch_seconds
13,4.243103490017819e-05,0.9291467129811645,0.8887691800296307,0.03652044386997659,0.07714175336062908,0.0,0.8082069783032167,0.7087897408495859,178.33045029640198
14,4.077550014553897e-05,0.8411992638371885,0.8017540564760566,0.03555074892548418,0.07788916613906621,0.0,0.8059949583822861,0.7089233235372696,178.63352727890015
15,3.899697604557651e-05,0.7642895041778683,0.7282935738936067,0.031999898374442635,0.07992062330245972,0.0,0.7951289228982088,0.7030456852791878,179.3744339942932
16,3.710978223058847e-05,0.6857034661062061,0.6511714547686279,0.030410697626803086,0.08242625690996647,0.0,0.8247545605397265,0.7325674592572802,179.37847876548767
17,3.512911327552113e-05,0.6270824212022126,0.5943518812954426,0.02860283029694074,0.08255416871979833,0.0,0.8143899461967722,0.7164039540475555,177.26006293296814
18,3.307091636218621e-05,0.561544437725097,0.5328645198047162,0.024426279516225124,0.08507277503609657,0.0,0.8232003702163634,0.7278920651883516,183.8962984085083
19,3.09517628819297e-05,0.516912752147764,0.4887953893281519,0.023805963354293455,0.08622799640521407,0.0,0.8337570837061372,0.7412503339567191,179.73783326148987
20,2.8788715012532563e-05,0.49024092440493405,0.45992705328390004,0.025834529231833585,0.08958684533834457,0.0,0.8366490723127681,0.742986908896607,178.42026710510254
21,2.659918834358762e-05,0.4457784628123045,0.418254028307274,0.0230134896056461,0.09021890407428146,0.0,0.8378443101025037,0.7459257280256479,180.35507822036743
22,2.4400811656412396e-05,0.41148362366482616,0.38376425884664056,0.02319304660263697,0.09052638337016106,0.0,0.8318250605636408,0.7389794282660966,179.66542673110962
23,2.221128498746745e-05,0.3699366502370685,0.34516407242976127,0.020208307984939892,0.09128540692850948,0.0,0.8352605373835623,0.7447234838364948,181.36735248565674
24,2.00482371180703e-05,0.35132078791968524,0.32669238158501684,0.02000686444475832,0.09243083488196134,0.0,0.8329245514761611,0.7465936414640663,180.42266631126404
25,1.792908363781379e-05,0.317795024542138,0.2971836726320907,0.016083080886123754,0.09056542107835412,0.0,0.8401348670434401,0.756211594977291,181.10686254501343
26,1.5870886724478873e-05,0.31007908772910014,0.28742823214968666,0.018106366013871594,0.09088978938758373,0.0,0.8502016647271953,0.7674325407427197,179.58576083183289
27,1.3890217769411535e-05,0.28936887918505816,0.26779157584300267,0.017004405080265315,0.09145796800032258,0.0,0.8400573065172562,0.7497996259684745,178.30904293060303
28,1.2003023954423492e-05,0.2639083345746622,0.24305717966286466,0.016282851876760276,0.09136605279520155,0.0,0.8521830444761921,0.7707721079348117,180.35133910179138
29,1.022449985446103e-05,0.2590827438258566,0.2382111769542098,0.0162936117524805,0.09155909813940526,0.0,0.8619554683259563,0.7870691958322202,178.4370985031128
30,8.568965099821818e-06,0.24132625532802193,0.22222114158561454,0.014543247057597455,0.09123734029009939,0.0,0.851985537114541,0.767298958055036,178.31210494041443
31,7.049749082911534e-06,0.22878863813588396,0.21011158861219884,0.014116789966974465,0.09120518952608109,0.0,0.8502048148728116,0.7682340368688219,172.94183802604675
32,5.6790836378137905e-06,0.21891731168376283,0.20009256975958123,0.014177763410303896,0.09293956300243736,0.0,0.8513977084165579,0.7713064386855464,165.6683042049408
33,4.4680045567542806e-06,0.20643650830956176,0.18975952232955023,0.012102601245860569,0.09148768652230502,0.0,0.8598701306755466,0.7795885653219343,165.3511323928833
34,3.426262736390734e-06,0.2032444601447787,0.18589499187772163,0.012833907889553303,0.09031121065840125,0.0,0.8669344653139279,0.7885386053967406,164.00215935707092
35,2.5622456693264386e-06,0.19723168479511513,0.18082500793621875,0.01184295578803244,0.09127441991120577,0.0,0.8585779340949862,0.7787870691958323,164.07858514785767
36,1.8829099129515955e-06,0.2025901165837422,0.1839990806323476,0.013936207814149384,0.0930965569615364,0.0,0.8554523732369392,0.7701041944963933,163.9936101436615
37,1.3937250793335731e-06,0.1809701722394675,0.1649837106000632,0.011433233440269816,0.09106456022709608,0.0,0.8524883375891374,0.7647608869890462,163.46225214004517
38,1.0986297971166427e-06,0.18264541653334163,0.1664397534582531,0.01157627810780582,0.09258769609034062,0.0,0.841099432258531,0.7480630510285866,163.50632524490356
39,1e-06,0.1881049139855895,0.1718961033312371,0.011515104062114005,0.09387413194403052,0.0,0.8482873656467214,0.7610205717339034,164.26461148262024
40,1e-06,0.18682175694266334,0.16952000241493806,0.012670524998309816,0.09262458760291338,0.0,0.8546979437755379,0.772642265562383,163.715256690979
