run,time,epoch,id_loss,wrt_loss,total_loss,acc,acc_pct
A1_PMT_VIT,2026-06-19-02:21:54,28,0.92011684,0.3150434,1.2351605,0.7672865,76.72865
A1_PMT_VIT,2026-06-19-02:31:50,29,0.8936554,0.3114724,1.2051281,0.77342266,77.34226600000001
A1_PMT_VIT,2026-06-19-02:42:42,30,0.8635873,0.3048143,1.1684017,0.78196776,78.196776
A1_PMT_VIT,2026-06-19-02:52:34,31,0.85803765,0.30347976,1.1615171,0.7815941,78.15941
A1_PMT_VIT,2026-06-19-03:03:08,32,0.83971274,0.30121583,1.1409286,0.7886287,78.86287
A1_PMT_VIT,2026-06-19-03:12:43,33,0.8189859,0.29499692,1.1139833,0.79148734,79.148734
A1_PMT_VIT,2026-06-19-03:23:17,34,0.79396033,0.29086334,1.0848246,0.79914945,79.914945
A1_PMT_VIT,2026-06-19-03:32:43,35,0.7809882,0.29076907,1.0717566,0.8003773,80.03773
A1_PMT_VIT,2026-06-19-03:43:11,36,0.7826058,0.2877739,1.0703794,0.79998785,79.998785
A1_PMT_VIT,2026-06-19-03:52:40,37,0.75948095,0.28821254,1.0476931,0.8064692,80.64692
A1_PMT_VIT,2026-06-19-04:03:08,38,0.7561031,0.28398645,1.0400898,0.80793536,80.793536
A1_PMT_VIT,2026-06-19-04:12:43,39,0.73619235,0.282052,1.0182444,0.8127994,81.27994
